YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"AREA HARVESTED in ACRES","PRODUCTION in $","PRODUCTION in BU","YIELD in BU / ACRE","PRODUCTION in TONS","YIELD in TONS / ACRE","AREA PLANTED in ACRES","PRICE RECEIVED in $ / BU"
2013,ALABAMA,01," "," ",YEAR,CORN," "," "," "," "," "," ","320,000"," "
2013,ARIZONA,04," "," ",YEAR,CORN," "," "," "," "," "," ","85,000"," "
2013,ARKANSAS,05," "," ",YEAR,CORN," "," "," "," "," "," ","880,000"," "
2013,CALIFORNIA,06," "," ",YEAR,CORN," "," "," "," "," "," ","600,000"," "
2013,COLORADO,08," "," ",YEAR,CORN," "," "," "," "," "," ","1,220,000"," "
2013,CONNECTICUT,09," "," ",YEAR,CORN," "," "," "," "," "," ","27,000"," "
2013,DELAWARE,10," "," ",YEAR,CORN," "," "," "," "," "," ","180,000"," "
2013,FLORIDA,12," "," ",YEAR,CORN," "," "," "," "," "," ","115,000"," "
2013,GEORGIA,13," "," ",YEAR,CORN," "," "," "," "," "," ","510,000"," "
2013,IDAHO,16," "," ",YEAR,CORN," "," "," "," "," "," ","350,000"," "
2013,ILLINOIS,17," "," ",YEAR,CORN," "," "," "," "," "," ","12,000,000"," "
2013,INDIANA,18," "," ",YEAR,CORN," "," "," "," "," "," ","6,000,000"," "
2013,IOWA,19," "," ",YEAR,CORN," "," "," "," "," "," ","13,600,000"," "
2013,KANSAS,20," "," ",YEAR,CORN," "," "," "," "," "," ","4,300,000"," "
2013,KENTUCKY,21," "," ",YEAR,CORN," "," "," "," "," "," ","1,530,000"," "
2013,LOUISIANA,22," "," ",YEAR,CORN," "," "," "," "," "," ","680,000"," "
2013,MAINE,23," "," ",YEAR,CORN," "," "," "," "," "," ","31,000"," "
2013,MARYLAND,24," "," ",YEAR,CORN," "," "," "," "," "," ","480,000"," "
2013,MASSACHUSETTS,25," "," ",YEAR,CORN," "," "," "," "," "," ","16,000"," "
