YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"AREA HARVESTED in ACRES","PRODUCTION in BU","YIELD in BU / ACRE","AREA PLANTED in ACRES","PRODUCTION in TONS","YIELD in TONS / ACRE"
2018,"ALABAMA, BLACK BELT, AUTAUGA",01,40,001,YEAR,CORN," "," "," ","1,000"," "," "
2018,"ALABAMA, BLACK BELT, DALLAS",01,40,047,YEAR,CORN," "," "," ","5,200"," "," "
2018,"ALABAMA, BLACK BELT, ELMORE",01,40,051,YEAR,CORN," "," "," ","2,100"," "," "
2018,"ALABAMA, BLACK BELT, OTHER (COMBINED) COUNTIES",01,40," ",YEAR,CORN," "," "," ","15,500"," "," "
2018,"ALABAMA, BLACK BELT, PERRY",01,40,105,YEAR,CORN," "," "," ","6,200"," "," "
2018,"ALABAMA, COASTAL PLAINS & GULF COAST, BALDWIN",01,50,003,YEAR,CORN," "," "," ","7,200"," "," "
2018,"ALABAMA, COASTAL PLAINS & GULF COAST, CONECUH",01,50,035,YEAR,CORN," "," "," ",900," "," "
2018,"ALABAMA, COASTAL PLAINS & GULF COAST, ESCAMBIA",01,50,053,YEAR,CORN," "," "," ","2,900"," "," "
2018,"ALABAMA, COASTAL PLAINS & GULF COAST, MONROE",01,50,099,YEAR,CORN," "," "," ","1,700"," "," "
2018,"ALABAMA, COASTAL PLAINS & GULF COAST, OTHER (COMBINED) COUNTIES",01,50," ",YEAR,CORN," "," "," ","5,300"," "," "
2018,"ALABAMA, MOUNTAINS & EASTERN VALLEY, CALHOUN",01,20,015,YEAR,CORN," "," "," ","1,300"," "," "
2018,"ALABAMA, MOUNTAINS & EASTERN VALLEY, CULLMAN",01,20,043,YEAR,CORN," "," "," ","1,400"," "," "
2018,"ALABAMA, MOUNTAINS & EASTERN VALLEY, DE KALB",01,20,049,YEAR,CORN," "," "," ","11,100"," "," "
2018,"ALABAMA, MOUNTAINS & EASTERN VALLEY, JACKSON",01,20,071,YEAR,CORN," "," "," ","21,500"," "," "
2018,"ALABAMA, MOUNTAINS & EASTERN VALLEY, OTHER (COMBINED) COUNTIES",01,20," ",YEAR,CORN," "," "," ","12,700"," "," "
2018,"ALABAMA, NORTHERN VALLEY, COLBERT",01,10,033,YEAR,CORN," "," "," ","16,700"," "," "
2018,"ALABAMA, NORTHERN VALLEY, FRANKLIN",01,10,059,YEAR,CORN," "," "," ","2,000"," "," "
2018,"ALABAMA, NORTHERN VALLEY, LAUDERDALE",01,10,077,YEAR,CORN," "," "," ","19,000"," "," "
2018,"ALABAMA, NORTHERN VALLEY, LAWRENCE",01,10,079,YEAR,CORN," "," "," ","25,500"," "," "
2018,"ALABAMA, NORTHERN VALLEY, LIMESTONE",01,10,083,YEAR,CORN," "," "," ","16,200"," "," "
