,YEAR,LOCATION,STATE_FIPS,COUNTY_FIPS,YIELD,AREA,TOTAL_YIELD
0,2018,"ALABAMA, BLACK BELT, AUTAUGA",1,1,165.6,900,149040.0
1,2018,"ALABAMA, BLACK BELT, DALLAS",1,47,137.3,4900,672770.0
2,2018,"ALABAMA, BLACK BELT, ELMORE",1,51,170.5,2100,358050.0
3,2018,"ALABAMA, BLACK BELT, PERRY",1,105,145.2,6100,885719.9999999999
4,2018,"ALABAMA, COASTAL PLAINS & GULF COAST, BALDWIN",1,3,152.0,7000,1064000.0
5,2018,"ALABAMA, COASTAL PLAINS & GULF COAST, CONECUH",1,35,150.0,800,120000.0
6,2018,"ALABAMA, COASTAL PLAINS & GULF COAST, ESCAMBIA",1,53,176.8,2850,503880.00000000006
7,2018,"ALABAMA, COASTAL PLAINS & GULF COAST, MONROE",1,99,157.6,1650,260040.0
8,2018,"ALABAMA, MOUNTAINS & EASTERN VALLEY, CALHOUN",1,15,156.2,1300,203059.99999999997
9,2018,"ALABAMA, MOUNTAINS & EASTERN VALLEY, CULLMAN",1,43,181.6,1250,227000.0
10,2018,"ALABAMA, MOUNTAINS & EASTERN VALLEY, DE KALB",1,49,168.3,11000,1851300.0000000002
11,2018,"ALABAMA, MOUNTAINS & EASTERN VALLEY, JACKSON",1,71,155.2,21300,3305759.9999999995
12,2018,"ALABAMA, NORTHERN VALLEY, COLBERT",1,33,153.6,16500,2534400.0
13,2018,"ALABAMA, NORTHERN VALLEY, FRANKLIN",1,59,100.0,1900,190000.0
14,2018,"ALABAMA, NORTHERN VALLEY, LAUDERDALE",1,77,165.3,18600,3074580.0
15,2018,"ALABAMA, NORTHERN VALLEY, LAWRENCE",1,79,176.9,25500,4510950.0
16,2018,"ALABAMA, NORTHERN VALLEY, LIMESTONE",1,83,183.2,15900,2912880.0
17,2018,"ALABAMA, NORTHERN VALLEY, MADISON",1,89,159.7,23600,3768919.9999999995
18,2018,"ALABAMA, NORTHERN VALLEY, MORGAN",1,103,176.8,3800,671840.0
19,2018,"ALABAMA, UPPER PLAINS & PIEDMONT, FAYETTE",1,57,124.3,700,87010.0
20,2018,"ALABAMA, UPPER PLAINS & PIEDMONT, RANDOLPH",1,111,101.5,1000,101500.0
21,2018,"ALABAMA, UPPER PLAINS & PIEDMONT, TALLADEGA",1,121,139.2,6250,869999.9999999999
22,2018,"ALABAMA, UPPER PLAINS & PIEDMONT, TUSCALOOSA",1,125,124.7,1500,187050.0
23,2018,"ALABAMA, UPPER PLAINS & PIEDMONT, WALKER",1,127,123.2,690,85008.0
24,2018,"ALABAMA, WIREGRASS, CRENSHAW",1,41,112.8,1800,203040.0
25,2018,"ALABAMA, WIREGRASS, GENEVA",1,61,109.5,6100,667950.0
26,2018,"ALABAMA, WIREGRASS, HENRY",1,67,162.4,3350,544040.0
27,2018,"ALABAMA, WIREGRASS, HOUSTON",1,69,100.0,1900,190000.0
28,2018,"ARKANSAS, EAST CENTRAL, ARKANSAS",5,1,187.0,44500,8321500.0
29,2018,"ARKANSAS, EAST CENTRAL, CRITTENDEN",5,35,175.2,16100,2820720.0
30,2018,"ARKANSAS, EAST CENTRAL, CROSS",5,37,186.2,19600,3649520.0
31,2018,"ARKANSAS, EAST CENTRAL, LEE",5,77,168.4,35400,5961360.0
32,2018,"ARKANSAS, EAST CENTRAL, LONOKE",5,85,185.3,38200,7078460.0
33,2018,"ARKANSAS, EAST CENTRAL, MONROE",5,95,173.2,26500,4589800.0
34,2018,"ARKANSAS, EAST CENTRAL, PHILLIPS",5,107,166.7,31800,5301060.0
35,2018,"ARKANSAS, EAST CENTRAL, PRAIRIE",5,117,191.1,19200,3669120.0
36,2018,"ARKANSAS, EAST CENTRAL, SAINT FRANCIS",5,123,180.3,21300,3840390.0000000005
37,2018,"ARKANSAS, EAST CENTRAL, WOODRUFF",5,147,188.1,21900,4119390.0
38,2018,"ARKANSAS, NORTHEAST, CLAY",5,21,189.7,28700,5444390.0
39,2018,"ARKANSAS, NORTHEAST, CRAIGHEAD",5,31,196.4,33000,6481200.0
40,2018,"ARKANSAS, NORTHEAST, GREENE",5,55,176.3,15800,2785540.0
41,2018,"ARKANSAS, NORTHEAST, JACKSON",5,67,177.0,14800,2619600.0
42,2018,"ARKANSAS, NORTHEAST, MISSISSIPPI",5,93,200.0,18400,3680000.0
43,2018,"ARKANSAS, NORTHEAST, POINSETT",5,111,197.2,24900,4910280.0
44,2018,"ARKANSAS, NORTHEAST, RANDOLPH",5,121,176.2,4200,740040.0
45,2018,"ARKANSAS, NORTHEAST, WHITE",5,145,184.7,5900,1089730.0
46,2018,"ARKANSAS, SOUTHEAST, ASHLEY",5,3,194.5,27100,5270950.0
47,2018,"ARKANSAS, SOUTHEAST, CHICOT",5,17,181.4,29000,5260600.0
48,2018,"ARKANSAS, SOUTHEAST, DESHA",5,41,192.3,26000,4999800.0
49,2018,"ARKANSAS, SOUTHEAST, DREW",5,43,186.1,7900,1470190.0
50,2018,"ARKANSAS, SOUTHEAST, JEFFERSON",5,69,192.7,37200,7168440.0
51,2018,"ARKANSAS, SOUTHEAST, LINCOLN",5,79,193.2,19200,3709440.0
52,2018,"CALIFORNIA, SACRAMENTO VALLEY, GLENN",6,21,162.0,2500,405000.0
53,2018,"CALIFORNIA, SACRAMENTO VALLEY, SACRAMENTO",6,67,172.9,5900,1020110.0
54,2018,"CALIFORNIA, SACRAMENTO VALLEY, SOLANO",6,95,164.7,3400,559980.0
55,2018,"CALIFORNIA, SACRAMENTO VALLEY, SUTTER",6,101,210.0,4200,882000.0
56,2018,"CALIFORNIA, SACRAMENTO VALLEY, YOLO",6,113,196.7,2100,413070.0
57,2018,"CALIFORNIA, SAN JOAQUIN VALLEY, SAN JOAQUIN",6,77,138.9,5400,750060.0
58,2018,"CALIFORNIA, SAN JOAQUIN VALLEY, STANISLAUS",6,99,150.0,800,120000.0
59,2018,"COLORADO, EAST CENTRAL, ADAMS",8,1,51.2,26700,1367040.0
60,2018,"COLORADO, EAST CENTRAL, CHEYENNE",8,17,92.4,78600,7262640.0
61,2018,"COLORADO, EAST CENTRAL, KIOWA",8,61,66.5,31900,2121350.0
62,2018,"COLORADO, EAST CENTRAL, KIT CARSON",8,63,121.3,216200,26225060.0
63,2018,"COLORADO, EAST CENTRAL, LINCOLN",8,73,52.4,22100,1158040.0
64,2018,"COLORADO, EAST CENTRAL, PHILLIPS",8,95,126.3,110000,13893000.0
65,2018,"COLORADO, EAST CENTRAL, WASHINGTON",8,121,61.6,120700,7435120.0
66,2018,"COLORADO, EAST CENTRAL, YUMA",8,125,196.5,216400,42522600.0
67,2018,"COLORADO, NORTHEAST, MORGAN",8,87,163.2,38900,6348480.0
68,2018,"COLORADO, NORTHEAST, SEDGWICK",8,115,128.7,62200,8005139.999999999
69,2018,"COLORADO, NORTHEAST, WELD",8,123,135.2,59600,8057919.999999999
70,2018,"COLORADO, SOUTHEAST, BENT",8,11,174.9,11100,1941390.0
71,2018,"COLORADO, SOUTHEAST, OTERO",8,89,127.2,3600,457920.0
72,2018,"COLORADO, SOUTHEAST, PUEBLO",8,101,136.7,3900,533130.0
73,2018,"DELAWARE, CENTRAL, KENT",10,1,149.9,51100,7659890.0
74,2018,"DELAWARE, NORTHERN, NEW CASTLE",10,3,149.1,16300,2430330.0
75,2018,"DELAWARE, SOUTHERN, SUSSEX",10,5,141.8,97600,13839680.000000002
76,2018,"GEORGIA, CENTRAL, BLECKLEY",13,23,186.2,3400,633080.0
77,2018,"GEORGIA, CENTRAL, DODGE",13,91,179.5,2200,394900.0
78,2018,"GEORGIA, CENTRAL, MONTGOMERY",13,209,144.4,900,129960.0
79,2018,"GEORGIA, EAST CENTRAL, BULLOCH",13,31,114.0,3500,399000.0
80,2018,"GEORGIA, EAST CENTRAL, BURKE",13,33,191.1,9800,1872780.0
81,2018,"GEORGIA, EAST CENTRAL, JEFFERSON",13,163,203.2,9100,1849120.0
82,2018,"GEORGIA, EAST CENTRAL, JENKINS",13,165,189.6,2400,455040.0
83,2018,"GEORGIA, EAST CENTRAL, SCREVEN",13,251,164.6,4800,790080.0
84,2018,"GEORGIA, NORTH CENTRAL, HALL",13,139,120.8,500,60400.0
85,2018,"GEORGIA, NORTHEAST, BANKS",13,11,92.6,230,21298.0
86,2018,"GEORGIA, NORTHEAST, HART",13,147,186.7,750,140025.0
87,2018,"GEORGIA, NORTHWEST, BARTOW",13,15,156.5,2000,313000.0
88,2018,"GEORGIA, NORTHWEST, CHATTOOGA",13,55,175.7,1400,245979.99999999997
89,2018,"GEORGIA, NORTHWEST, FLOYD",13,115,216.7,2100,455070.0
90,2018,"GEORGIA, NORTHWEST, GORDON",13,129,161.1,2700,434970.0
91,2018,"GEORGIA, NORTHWEST, WHITFIELD",13,313,99.2,600,59520.0
92,2018,"GEORGIA, SOUTH CENTRAL, ATKINSON",13,3,134.4,900,120960.0
93,2018,"GEORGIA, SOUTH CENTRAL, BERRIEN",13,19,151.2,5200,786239.9999999999
94,2018,"GEORGIA, SOUTH CENTRAL, BROOKS",13,27,154.1,1700,261970.0
95,2018,"GEORGIA, SOUTH CENTRAL, COFFEE",13,69,141.9,2600,368940.0
96,2018,"GEORGIA, SOUTH CENTRAL, COLQUITT",13,71,197.9,2800,554120.0
97,2018,"GEORGIA, SOUTH CENTRAL, COOK",13,75,165.3,1700,281010.0
98,2018,"GEORGIA, SOUTH CENTRAL, DOOLY",13,93,211.6,3700,782920.0
99,2018,"GEORGIA, SOUTH CENTRAL, IRWIN",13,155,172.9,4900,847210.0
100,2018,"GEORGIA, SOUTH CENTRAL, JEFF DAVIS",13,161,138.9,1900,263910.0
101,2018,"GEORGIA, SOUTH CENTRAL, TURNER",13,287,188.0,2500,470000.0
102,2018,"GEORGIA, SOUTH CENTRAL, WORTH",13,321,191.4,4900,937860.0
103,2018,"GEORGIA, SOUTHEAST, EVANS",13,109,147.8,900,133020.0
104,2018,"GEORGIA, SOUTHEAST, PIERCE",13,229,136.2,5800,789959.9999999999
105,2018,"GEORGIA, SOUTHEAST, TATTNALL",13,267,162.9,4200,684180.0
106,2018,"GEORGIA, SOUTHEAST, TOOMBS",13,279,194.1,3400,659940.0
107,2018,"GEORGIA, SOUTHWEST, BAKER",13,7,199.2,8300,1653360.0
108,2018,"GEORGIA, SOUTHWEST, CALHOUN",13,37,211.8,8700,1842660.0
109,2018,"GEORGIA, SOUTHWEST, DECATUR",13,87,209.0,9800,2048200.0
110,2018,"GEORGIA, SOUTHWEST, DOUGHERTY",13,95,199.1,2300,457930.0
111,2018,"GEORGIA, SOUTHWEST, EARLY",13,99,169.1,8900,1504990.0
112,2018,"GEORGIA, SOUTHWEST, GRADY",13,131,181.2,6700,1214040.0
113,2018,"GEORGIA, SOUTHWEST, LEE",13,177,147.1,11200,1647520.0
114,2018,"GEORGIA, SOUTHWEST, MILLER",13,201,193.2,12500,2415000.0
115,2018,"GEORGIA, SOUTHWEST, MITCHELL",13,205,203.2,8800,1788160.0
116,2018,"GEORGIA, SOUTHWEST, RANDOLPH",13,243,187.1,9000,1683900.0
117,2018,"GEORGIA, SOUTHWEST, SEMINOLE",13,253,198.9,10100,2008890.0
118,2018,"GEORGIA, SOUTHWEST, SUMTER",13,261,205.2,13300,2729160.0
119,2018,"GEORGIA, SOUTHWEST, TERRELL",13,273,182.2,13100,2386820.0
120,2018,"GEORGIA, SOUTHWEST, THOMAS",13,275,120.6,3200,385920.0
121,2018,"GEORGIA, SOUTHWEST, WEBSTER",13,307,172.0,1000,172000.0
122,2018,"GEORGIA, WEST CENTRAL, MACON",13,193,191.1,3800,726180.0
123,2018,"GEORGIA, WEST CENTRAL, MARION",13,197,119.1,1100,131010.0
124,2018,"GEORGIA, WEST CENTRAL, MERIWETHER",13,199,127.4,700,89180.0
125,2018,"GEORGIA, WEST CENTRAL, TAYLOR",13,269,118.0,1000,118000.0
126,2018,"IDAHO, SOUTH CENTRAL, CASSIA",16,31,149.7,7000,1047899.9999999999
127,2018,"IDAHO, SOUTH CENTRAL, GOODING",16,47,236.0,15800,3728800.0
128,2018,"IDAHO, SOUTH CENTRAL, JEROME",16,53,230.9,4400,1015960.0
129,2018,"IDAHO, SOUTH CENTRAL, LINCOLN",16,63,219.6,5500,1207800.0
130,2018,"IDAHO, SOUTH CENTRAL, TWIN FALLS",16,83,214.9,18700,4018630.0
131,2018,"IDAHO, SOUTHWEST, ADA",16,1,230.0,1100,253000.0
132,2018,"IDAHO, SOUTHWEST, CANYON",16,27,198.5,12300,2441550.0
133,2018,"IDAHO, SOUTHWEST, GEM",16,45,233.9,3100,725090.0
134,2018,"IDAHO, SOUTHWEST, OWYHEE",16,73,235.3,15000,3529500.0
135,2018,"IDAHO, SOUTHWEST, PAYETTE",16,75,230.3,3400,783020.0
136,2018,"ILLINOIS, CENTRAL, DE WITT",17,39,225.0,101000,22725000.0
137,2018,"ILLINOIS, CENTRAL, LOGAN",17,107,236.2,171300,40461060.0
138,2018,"ILLINOIS, CENTRAL, MACON",17,115,239.9,147800,35457220.0
139,2018,"ILLINOIS, CENTRAL, MARSHALL",17,123,213.9,95300,20384670.0
140,2018,"ILLINOIS, CENTRAL, MCLEAN",17,113,229.3,312000,71541600.0
141,2018,"ILLINOIS, CENTRAL, PEORIA",17,143,228.9,103000,23576700.0
142,2018,"ILLINOIS, CENTRAL, STARK",17,175,234.0,86300,20194200.0
143,2018,"ILLINOIS, CENTRAL, TAZEWELL",17,179,235.4,137200,32296880.0
144,2018,"ILLINOIS, CENTRAL, WOODFORD",17,203,223.7,122900,27492730.0
145,2018,"ILLINOIS, EAST SOUTHEAST, CLARK",17,23,203.5,91500,18620250.0
146,2018,"ILLINOIS, EAST SOUTHEAST, CLAY",17,25,189.3,63500,12020550.0
147,2018,"ILLINOIS, EAST SOUTHEAST, COLES",17,29,234.3,113700,26639910.0
148,2018,"ILLINOIS, EAST SOUTHEAST, CRAWFORD",17,33,194.3,79700,15485710.0
149,2018,"ILLINOIS, EAST SOUTHEAST, DOUGLAS",17,41,246.0,108400,26666400.0
150,2018,"ILLINOIS, EAST SOUTHEAST, EDGAR",17,45,213.1,157500,33563250.0
151,2018,"ILLINOIS, EAST SOUTHEAST, EFFINGHAM",17,49,235.2,80600,18957120.0
152,2018,"ILLINOIS, EAST SOUTHEAST, JASPER",17,79,205.7,90500,18615850.0
153,2018,"ILLINOIS, EAST SOUTHEAST, LAWRENCE",17,101,166.0,68700,11404200.0
154,2018,"ILLINOIS, EAST SOUTHEAST, MARION",17,121,199.2,60600,12071520.0
155,2018,"ILLINOIS, EAST SOUTHEAST, MOULTRIE",17,139,233.9,86600,20255740.0
156,2018,"ILLINOIS, EAST SOUTHEAST, RICHLAND",17,159,167.7,68200,11437140.0
157,2018,"ILLINOIS, EAST SOUTHEAST, SHELBY",17,173,225.4,167700,37799580.0
158,2018,"ILLINOIS, EAST, CHAMPAIGN",17,19,221.3,272000,60193600.0
159,2018,"ILLINOIS, EAST, FORD",17,53,201.7,141200,28480040.0
